	TopTF	TopGene20	TopGene100
10	KLF6,JUNB,FOS,ATF3,FOSB,JUN,ELF1,EGR1	MT-CO3,MT-CO2,MT-CYB,MT-CO1,MT-ATP6,MT-ND3,MT-ND4,MT-ND1,MT-ND2,MT-ND5,MT-ND4L,MT-ATP8,MALAT1,KLF6,MTRNR2L12,JUNB,MT-ND6,MTRNR2L8,ZFP36L2,BTG1	MT-CO3,MT-CO2,MT-CYB,MT-CO1,MT-ATP6,MT-ND3,MT-ND4,MT-ND1,MT-ND2,MT-ND5,MT-ND4L,MT-ATP8,MALAT1,KLF6,MTRNR2L12,JUNB,MT-ND6,MTRNR2L8,ZFP36L2,BTG1,SLC2A3,NEAT1,PPP1R15A,FOS,HSP90B1,ATF3,FOSB,EMP3,ZFP36,DNAJB1,SQSTM1,IER2,CD52,IFITM1,B2M,PSMA7,INS,RGS1,HLA-B,JUN,MTDH,DUSP2,HLA-E,ZFP36L1,MTRNR2L10,MTRNR2L1,DUSP1,COX5B,TMBIM6,CCL4,UBXN1,SARAF,SEC61B,SAT1,IL32,COX7A2,CD83,H1FX,FYB,SSR4,FXYD5,ARHGEF1,ELF1,STK17B,RAN,SGK1,CXCL8,CD37,PLIN2,HLA-C,CORO1B,MZT2B,SOD2,NFKBIZ,SEC62,PNRC1,UBXN4,IQGAP1,PCBP2,CCL4L2,CLEC2B,PSMB9,ZFAND5,GADD45B,GABARAPL2,ATP6V1F,EVL,MT-RNR2,UBE2D3,DRAP1,IFI30,IER3,LGALS3,BSG,EIF3G,EGR1,RGS10,APLP2,CTSZ,H3F3B
11	HOPX,KLF2,LITAF,ZEB2,TSC22D3,TBX21,XBP1,YBX1,RORA	GNLY,NKG7,FGFBP2,GZMB,GZMH,PRF1,FCGR3A,CST7,ITGB2,SPON2,KLRD1,PLAC8,CTSW,CCND3,PLEK,CX3CR1,CD247,ARPC2,IFITM1,S1PR5	GNLY,NKG7,FGFBP2,GZMB,GZMH,PRF1,FCGR3A,CST7,ITGB2,SPON2,KLRD1,PLAC8,CTSW,CCND3,PLEK,CX3CR1,CD247,ARPC2,IFITM1,S1PR5,FLNA,HOPX,KLF2,BIN2,EFHD2,LITAF,GZMA,TXNIP,EMP3,CALM1,KLRF1,RAP1B,ITGB1,TYROBP,AES,UCP2,ADGRG1,GZMM,ZEB2,C12orf75,CYBA,IFITM2,CTSC,S100A4,IER2,GNG2,KLRB1,ARL4C,MYL12A,LGALS1,PFN1,SYNE1,FCRL6,CD53,TTC38,PRSS23,C1orf21,PXN,TSC22D3,HLA-E,CCL4,FGR,UBB,DSTN,CLIC3,APMAP,TGFBR3,ANXA1,MT2A,FCER1G,SPN,CMC1,DDIT4,YWHAQ,CD47,ADD3,CD300A,CYTH1,NEAT1,SUN2,TPST2,SRGN,TBX21,SYNE2,SH3BP5,MSN,XBP1,YBX1,KLRG1,CFL1,ITGAL,ADRB2,TCF25,HCST,HNRNPA2B1,DOK2,SYTL3,HLA-C,PDIA3,RORA
12	EOMES,JUNB,SUB1,JUN,ELF1	GZMK,CCL5,GZMA,DUSP2,CST7,CMC1,NKG7,CD74,CCL4,COTL1,SH2D1A,CD27,CXCR4,CD8A,CLDND1,RGS1,KLRG1,CD8B,SRSF7,LYAR	GZMK,CCL5,GZMA,DUSP2,CST7,CMC1,NKG7,CD74,CCL4,COTL1,SH2D1A,CD27,CXCR4,CD8A,CLDND1,RGS1,KLRG1,CD8B,SRSF7,LYAR,CD44,ITM2C,HLA-DRB1,TRAT1,GZMM,LYST,EOMES,PPP2R5C,APOBEC3G,PYHIN1,STK17A,GIMAP4,OAZ1,IL32,DNAJB1,ITM2A,FYN,BTG1,TRAC,PTPRC,CLEC2B,PPDPF,SRGN,LDHA,GPR183,CRTAM,HCST,HLA-DPB1,CD3D,CD3E,CNN2,SAMD3,PIK3R1,HLA-DPA1,TIGIT,JUNB,RARRES3,PLEK,ITGB2,RPS15A,TC2N,CTSC,RPL27A,WIPF1,RNF213,TUBA4A,RPL13A,CSTB,MYL12B,TRBC2,MT2A,CD69,GUK1,PSMB9,ARPC3,HERPUD1,IFNG,CD84,CCL4L2,ANXA2,PTP4A2,MIAT,CYBA,ALDOA,DUSP4,TERF2IP,ARL6IP1,CD2,SUB1,GABARAPL2,CALM2,GIMAP7,YPEL5,DTHD1,JUN,ELF1,ATP6V1G1,CHI3L2,PNRC1,TSPYL2
13	GATA2,TSC22D1,EGR1,FOXP1,FOSB,ELF1,ID2,AHR	TPSAB1,TPSB2,CPA3,CLU,HPGDS,ANXA1,SAMSN1,SRGN,GATA2,VWA5A,HPGD,SLC18A2,LAPTM4A,GLUL,RGS2,CD69,CAPG,KIT,MS4A2,RGS1	TPSAB1,TPSB2,CPA3,CLU,HPGDS,ANXA1,SAMSN1,SRGN,GATA2,VWA5A,HPGD,SLC18A2,LAPTM4A,GLUL,RGS2,CD69,CAPG,KIT,MS4A2,RGS1,CTSG,CD9,CD63,HDC,IL1RL1,ALOX5AP,FCER1G,RGS13,RAC2,LTC4S,PLIN2,VIM,ARHGDIB,LAPTM5,CD44,PRDX6,TIMP1,NFKBIA,MAOB,CLIC1,CTSD,TSC22D1,NSMCE1,UBB,DUSP6,ACSL4,PTGS1,LMNA,SH3BGRL3,BIRC3,LMO4,BTK,EGR1,ARHGAP18,SDCBP,FOXP1,CTNNBL1,CD82,ALOX5,FOSB,NFKBIZ,NDUFA4,LAT2,S100A4,TNFSF10,FXYD5,PPP1R15A,ASAH1,TYROBP,STMN1,LAT,ELF1,ID2,PRDX1,ADCYAP1,C1ORF186,S100A6,FTH1,CD37,PTGS2,GCSAML,SOCS1,ALDH1A1,EMP3,RPL36AL,SMYD3,CNRIP1,IFITM2,SERPINB1,AREG,TAGLN2,RGS10,AHR,ARHGEF6,AKAP13,ATP6V1F,IER2,DRAP1,TPSD1,RAB27B
14	CARHSP1,HMGA1	DUT,PCNA,TYMS,MCM7,TK1,RRM2,STMN1,MCM5,MCM3,DEK,HIST1H4C,RANBP1,FEN1,SLBP,H2AFZ,DHFR,GINS2,PCLAF,NASP,TMEM106C	DUT,PCNA,TYMS,MCM7,TK1,RRM2,STMN1,MCM5,MCM3,DEK,HIST1H4C,RANBP1,FEN1,SLBP,H2AFZ,DHFR,GINS2,PCLAF,NASP,TMEM106C,DNMT1,HELLS,TUBB,CENPM,CLSPN,ZWINT,SIVA1,ASF1B,DNAJC9,IDH2,RPA3,ATAD2,MCM6,NAP1L1,CENPU,MCM4,MCM2,LIG1,CARHSP1,KIAA0101,CDCA7,TUBA1B,HNRNPF,RNASEH2A,GMNN,RFC2,RRM1,CDK4,PPDPF,PKMYT1,SVIP,RPA2,HPRT1,CDT1,TCF19,SNRPB,FAM111B,CRIP1,ARL6IP6,RFC4,HSPB11,H2AFY,HAT1,UNG,CENPK,RBBP7,SMC3,TMEM109,GGCT,PSIP1,CDC45,USP1,UBE2T,UHRF1,WDR76,CENPH,RAD51AP1,RBBP4,PA2G4,NUDT1,HNRNPAB,SNRNP25,SRSF2,ANXA5,WDR34,LDHB,EIF4EBP1,PGAM1,TPI1,FABP5,CKLF,SMC1A,PRDX2,GGH,CDC6,C19orf48,SMC2,COPS3,PTMA,HMGA1
15	YBX1	RPL41,RPL26,RPL23A,RPS12,RPS15A,RPS29,RPL30,RPL32,RPL21,RPL12,RPS14,RPS18,RPS13,RPL34,RPL19,RPL35A,RPS25,RPL39,RPL31,PPDPF	RPL41,RPL26,RPL23A,RPS12,RPS15A,RPS29,RPL30,RPL32,RPL21,RPL12,RPS14,RPS18,RPS13,RPL34,RPL19,RPL35A,RPS25,RPL39,RPL31,PPDPF,RPS27A,EEF1D,RPS23,PFDN5,RPL29,RPS27,RPS10,RPL27,FTL,RPLP1,RPLP2,RPL9,RPL38,RPS3A,FTH1,RPL17,RPL37,RPL36A,UBB,RPL18A,RPS7,FAU,RPS21,RPL10A,NACA,RPL22,RPL36,RPS15,RPL28,RPL8,RPL37A,RPS4X,UBA52,RPS16,TPT1,RPS5,RPL10,RPS8,RPL15,HMGN2,RPS20,RPS24,RPS28,RPL11,RPL35,RPL24,RPS6,RPL6,RPL13,SH3BGRL3,TOMM7,RPS11,COMMD6,RPS26,RPS3,SERF2,RPS19,PNRC1,RPS9,CCL5,RPL18,PFN1,S100A4,TMA7,TMSB10,RPL27A,UBC,COX4I1,RPL7A,TMSB4X,H2AFZ,ATP5E,RPL36AL,RPL7,OAZ1,RPL14,YBX1,CST7,H3F3B,SNRPD2
16	RORA,ID2,CEBPD,SATB1,BHLHE40,ZBTB16,HOPX,XBP1,MYC	KLRB1,LTB,IL7R,GZMK,S100A4,RORA,SPOCK2,NCR3,GZMA,DUSP1,S100A6,CXCR4,ID2,LAPTM5,AQP3,KLRG1,TNFAIP3,ALOX5AP,FKBP11,RGS2	KLRB1,LTB,IL7R,GZMK,S100A4,RORA,SPOCK2,NCR3,GZMA,DUSP1,S100A6,CXCR4,ID2,LAPTM5,AQP3,KLRG1,TNFAIP3,ALOX5AP,FKBP11,RGS2,DUSP2,GPR65,LYAR,NKG7,RPLP0,CXCR6,CEBPD,GYG1,IL32,GBP5,JAML,LST1,PRF1,CD69,CCR6,MT2A,SLC4A10,CTSA,SATB1,NFKBIA,LGALS3,IFNGR1,TNFRSF25,SYNE2,LAG3,YWHAQ,CTSW,LCP1,DPP4,IL2RG,CTSH,EIF4A1,LINC01871,ZFP36,CCL5,PDE4D,PBXIP1,ZFP36L1,CCL20,OSTF1,TNFAIP8,SRSF3,UCP2,ERN1,TMIGD2,ARL4C,ODF2L,EML4,SERP1,PDCD4,PIM1,MGAT4A,YWHAH,CASP1,CCDC107,PARP8,UBC,CD96,MYO1F,SESN1,BHLHE40,TTC39C,TPM3,CALM1,CNN2,DDIT4,ZBTB16,CD74,HOPX,TC2N,SLC25A6,ATF7IP2,XBP1,JAK1,CST7,MT-CO3,MYC,PHACTR2,PERP,BZW1
17	FOS,ZEB2,CEBPB	S100A9,S100A8,LYZ,FCN1,VCAN,CTSS,S100A4,S100A6,TIMP1,PSAP,SERPINA1,TKT,THBS1,CFD,IL1B,TSPO,CD55,LST1,CSTA,COTL1	S100A9,S100A8,LYZ,FCN1,VCAN,CTSS,S100A4,S100A6,TIMP1,PSAP,SERPINA1,TKT,THBS1,CFD,IL1B,TSPO,CD55,LST1,CSTA,COTL1,S100A12,CD52,DUSP1,FGR,CFP,APOBEC3A,AP1S2,MNDA,SAMSN1,TYROBP,SLC11A1,C1orf162,EREG,SOD2,AIF1,FPR1,STXBP2,SH3BGRL3,BCL2A1,NAMPT,C5AR1,LTA4H,NCF2,SERPINB1,OAZ1,DUSP6,CD300E,FCER1G,APLP2,TNFRSF1B,CORO1A,IFI30,CD36,RETN,LYST,NEAT1,LCP1,FKBP1A,VMP1,CLEC12A,SLC25A6,H3F3A,PLBD1,PLAUR,CXCL2,RGS2,NFKBIA,TYMP,SRGN,CD48,MPEG1,PLAC8,HCK,CST3,FOS,EVI2B,TALDO1,CARD16,AQP9,CYBB,CD14,GSTP1,LILRB2,MARCO,WARS,MCEMP1,ZEB2,AC020656.1,ITGB2,CSF3R,PRELID1,CD44,CEBPB,CYBA,ATP2B1,SERP1,G0S2,PTPRE,SDCBP,SRSF5
18	TSC22D3,POU2F2,ID3,SP100,IRF8,REL,TCF4,NR4A2,SP140,HMGB1	CD74,CD79A,MS4A1,CD37,HLA-DRA,CD52,LAPTM5,IGKC,CD79B,CD83,HLA-DRB1,BANK1,EZR,LTB,IGHM,BTG1,CD69,HLA-DQB1,CXCR4,MEF2C	CD74,CD79A,MS4A1,CD37,HLA-DRA,CD52,LAPTM5,IGKC,CD79B,CD83,HLA-DRB1,BANK1,EZR,LTB,IGHM,BTG1,CD69,HLA-DQB1,CXCR4,MEF2C,HLA-DPB1,HLA-DPA1,ARPC3,SMIM14,HLA-DQA1,ZFP36L1,LINC00926,SNX2,CYBA,ISG20,CD53,LY9,VPREB3,ADAM28,NCF1,SWAP70,TSC22D3,POU2F2,ID3,RALGPS2,SP100,IRF8,YWHAZ,CORO1A,FCMR,BIRC3,TXNIP,CD22,REL,SYPL1,ARHGAP24,SNX3,SEPT7,TNFRSF13C,BLK,HERPUD1,IGLC2,RAC2,TCL1A,PDLIM1,SYNGR2,LIMD2,IGHD,CLIC1,IFT57,CD19,HVCN1,HLA-DMA,CD24,TAGLN2,IGHA1,STK17A,LY86,PARP14,OAZ1,CD55,FCRLA,TPD52,RPS11,CD40,IGLC3,LSM7,TCEA1,EMP3,EVI2B,TCF4,PTPRCAP,PKIG,RHOH,RPLP2,HLA-DMB,NR4A2,SP140,RPS5,H3F3A,RCSD1,PARP1,FCER2,HMGB1,ORAI2
19	CREM,MAF,MAFB	C1QB,C1QA,APOE,C1QC,CTSD,APOC1,LGMN,PLD3,GPNMB,RNASE1,FTL,CTSB,CD14,TMEM176B,ASAH1,LIPA,ACP5,SLC40A1,PSAP,CTSL	C1QB,C1QA,APOE,C1QC,CTSD,APOC1,LGMN,PLD3,GPNMB,RNASE1,FTL,CTSB,CD14,TMEM176B,ASAH1,LIPA,ACP5,SLC40A1,PSAP,CTSL,MS4A4A,A2M,CD68,CTSC,SELENOP,CREG1,MS4A6A,MS4A7,FOLR2,DAB2,PRDX1,PLTP,FCGRT,FCGR3A,TMEM176A,SLCO2B1,CTSZ,CAPG,TREM2,CD163,GRN,HLA-E,SEPP1,HLA-DMB,ITM2B,LAPTM5,STAB1,GLUL,FUCA1,CD81,BLVRB,HMOX1,CTSS,HLA-DQA1,GM2A,CTSA,CD63,NUPR1,PMP22,TYROBP,AKR1B1,VSIG4,HLA-A,RGS1,NPC2,CREM,SDS,CD4,MSR1,ATOX1,NINJ1,ARL4C,MAF,ATP6V1F,MAFB,CFD,RNASE6,HLA-DMA,GPR34,ADAP2,LGALS3,GPX1,FCGR2A,UCP2,SDCBP,UBB,LAIR1,AIF1,MMP9,AKR1A1,PLA2G7,CD59,LY96,HEXA,FCER1G,LAMP1,CD9,TIMP2,CSF1R,CCL18
20	NR3C1,JUNB,BHLHE40,TOX,STAT4,HIF1A,ARID5A,TCF7,KLF6,MAF	CXCL13,NR3C1,ITM2A,RBPJ,SRGN,ALOX5AP,JUNB,NMB,FKBP5,SH2D1A,DUSP4,TNFRSF18,CXCR4,KLRB1,UCP2,YWHAQ,BHLHE40,COTL1,CHN1,H2AFZ	CXCL13,NR3C1,ITM2A,RBPJ,SRGN,ALOX5AP,JUNB,NMB,FKBP5,SH2D1A,DUSP4,TNFRSF18,CXCR4,KLRB1,UCP2,YWHAQ,BHLHE40,COTL1,CHN1,H2AFZ,CD200,ICA1,PDCD1,NFKBIA,IGFL2,FABP5,TSHZ2,CD247,TOX,CD82,TNFRSF4,S100A11,SEPT6,CPM,STAT4,SLA,SOCS1,BTLA,HIF1A,SEC11A,RNF19A,GNG4,TRAT1,LAPTM5,AHI1,TNFAIP8,CORO1B,ARID5A,TCF7,CIRBP,TMEM173,OST4,PPP1CC,KLF6,ISCU,MAF,DBI,CD37,SMCO4,SMARCA2,PNRC1,CNIH1,IFITM1,BHLHE40-AS1,SOD1,TSPO,ACTG1,RGS2,IGFBP4,XCL1,TNFSF8,CD40LG,RNASET2,BST2,FYB1,FXYD5,LAT,AC004585.1,CCDC50,GRAMD1A,ITGB2,TMSB10,GYPC,SERF2,SRSF5,DYNLL1,HINT1,UBC,C9orf16,RILPL2,PTPRC,CTSB,EDF1,DUSP1,SKP1,CRIP1,TPI1,CD6,SLC25A6,MYL12B
21	SUB1,ARID5B	ACTG1,COTL1,SUB1,ISG20,GMFG,GYPC,CD52,LIMD2,CD27,NEAT1,LDHB,CNN2,RGS10,SAT1,UCP2,GZMK,EVI2B,CD44,CD3D,CD74	ACTG1,COTL1,SUB1,ISG20,GMFG,GYPC,CD52,LIMD2,CD27,NEAT1,LDHB,CNN2,RGS10,SAT1,UCP2,GZMK,EVI2B,CD44,CD3D,CD74,ARPC1B,GAPDH,CORO1A,ARHGDIB,GBP2,SLC25A5,PFN1,MT2A,AES,LCK,UBXN1,EEF2,ARPC3,CYTOR,PPP1CA,CAPZB,POLR1D,EVL,TRBC2,RAC2,ITM2A,SLC25A6,FYB1,ARPC2,TMSB10,ACTB,HINT1,SELL,LEPROTL1,BTF3,EIF3H,PMAIP1,NOSIP,LAT,PSMB8,COX7A2,IL32,HIGD2A,TRAF3IP3,PSME1,EIF3F,COX6B1,SEPT6,TRAC,LAPTM5,MYL6,BIN1,C9orf16,TMSB4X,DYNLL1,CLIC1,RGS1,ISG15,STK17A,PTPRCAP,OCIAD2,FKBP1A,MZT2A,MIR4435-2HG,CALM3,SH3BGRL3,ARID5B,CASP4,CD2,SLC25A3,ATP5MC2,GPR183,RARRES3,CORO1B,EIF3M,RSL24D1,EIF3E,NOP10,SRGN,GSTK1,ARPC5,GPSM3,NDUFB11,EIF3D,MCL1
22	EGR1,PRRX1	COL1A1,COL3A1,COL1A2,LUM,DCN,SPARC,COL6A3,C1S,SFRP2,FN1,SERPINF1,BGN,COL6A2,VCAN,COL6A1,COL5A2,C1R,CTHRC1,CTSK,CCDC80	COL1A1,COL3A1,COL1A2,LUM,DCN,SPARC,COL6A3,C1S,SFRP2,FN1,SERPINF1,BGN,COL6A2,VCAN,COL6A1,COL5A2,C1R,CTHRC1,CTSK,CCDC80,POSTN,AEBP1,FSTL1,RARRES2,FBLN1,MGP,PCOLCE,MMP2,THY1,ISLR,SFRP4,CTGF,SERPING1,LGALS1,COL5A1,TIMP1,CALD1,THBS2,NNMT,EFEMP1,TAGLN,CFD,PLA2G2A,C3,FBLN2,CXCL14,FBN1,LGALS3BP,SPON2,CST3,SERPINH1,CD99,MXRA8,MXRA5,GSN,MFAP4,SULF1,IGFBP6,TIMP2,COL12A1,IGFBP4,LRP1,IGF1,IGFBP5,COL8A1,CXCL12,CDH11,TPM2,NBL1,MMP14,DPT,EGR1,PPIC,TUBA1A,INHBA,ASPN,MYL9,ZFP36L1,TPM4,CYR61,PRRX1,ITGB1,HTRA1,LY6E,SELENOM,OLFML3,MEG3,MFAP5,LAPTM4A,APOD,PPIB,TPM1,PSAP,IGFBP7,CD63,PDGFRB,COL14A1,C12orf57,S100A13,MRC2
23	ID1,TCF4,TSC22D1,ETS2,ID3	ACKR1,IFITM3,IGFBP7,AQP1,TM4SF1,IFI27,SPARCL1,FKBP1A,PLVAP,VWF,ENG,A2M,CRIP2,RAMP2,RNASE1,HYAL2,RAMP3,PDLIM1,CLDN5,IFITM2	ACKR1,IFITM3,IGFBP7,AQP1,TM4SF1,IFI27,SPARCL1,FKBP1A,PLVAP,VWF,ENG,A2M,CRIP2,RAMP2,RNASE1,HYAL2,RAMP3,PDLIM1,CLDN5,IFITM2,CLEC14A,HSPG2,EPAS1,PECAM1,MGP,NPDC1,PRCP,CD74,CD59,GNG11,EGFL7,CD93,ESAM,STOM,ADGRL4,HLA-E,HLA-DRB1,ID1,CAV1,GUK1,CALCRL,SPARC,COL15A1,TCF4,EMCN,TSC22D1,SRP14,CD34,TGM2,SELE,TAGLN2,ADAM15,S1PR1,PALMD,MSN,CD9,ECSCR,EMP1,ITM2B,DUSP23,ETS2,VIM,TPM3,CDC37,SLCO2A1,SPRY1,CDH5,PTPRB,ICAM2,S100A16,TSPAN7,PRSS23,APP,SOCS3,GIMAP4,ZFP36,FLT1,IGFBP4,COL4A1,SLC2A3,ICAM1,FXYD5,NEAT1,PODXL,GIMAP7,NEDD9,HLA-DRA,ID3,ITM2A,YBX3,CYYR1,PCAT19,ADAMTS9,ADIRF,HLA-DRB5,VAMP5,LDB2,MMRN2,LMNA,SWAP70
24	CSDE1,NR4A1,ID3,EGR3	MT2A,MT1X,MT1G,MT1E,MT1F,MT1H,MT1M,ZFP36,SQSTM1,RPSA,CD63,RPS6,GEM,GSN,CSDE1,TUBA1A,APOC2,RPS2,BTG2,IL32	MT2A,MT1X,MT1G,MT1E,MT1F,MT1H,MT1M,ZFP36,SQSTM1,RPSA,CD63,RPS6,GEM,GSN,CSDE1,TUBA1A,APOC2,RPS2,BTG2,IL32,ANGPTL4,TRBC2,SLC3A2,IFITM2,CCL20,STK17A,RPS25,ALOX5AP,HMOX1,DUSP1,MIF,RPL13A,RPL4,CLDND1,SAMSN1,PSAP,S100A9,CUTA,PRRC2C,ATP6V0B,IFITM3,NPC2,SSR4,FKBP8,RPS15A,S100A8,PLP2,MT-CYB,MTND4LP30,GLUL,NR4A1,GABARAP,CYBA,GPX4,EIF3E,ARPC1B,CCL3,SLC25A6,SLC7A5,ADM,RPL17,H3F3B,UBE2B,EIF4B,RPS11,ID3,CNN2,MARCKSL1,MT1A,UQCR11,TNF,GMFG,RASD1,EMC4,A2M,EGR3,SPCS1,SLC39A8,PIM1,GPBP1,RAB13,GAPDH,EEF1A1,UBB,ATP6V1F,FAU,MYL12B,C3,UBXN1,MMP9,BTG1,ITGB1,RPL5,YWHAB,SLC25A37,TREM1,FUS,RPL7,RPL10A,P2RY12
25	HOPX,ID2,ZNF683,ARID5B,HMGB1,TSC22D3,ZBTB16,BHLHE40	GNLY,GZMB,PRF1,SELL,HOPX,KLRD1,CD74,CD52,CD44,ITGB1,KLRC1,DDIT4,LGALS3,LYAR,CD63,MYL12B,RPL15,ID2,PMAIP1,FXYD5	GNLY,GZMB,PRF1,SELL,HOPX,KLRD1,CD74,CD52,CD44,ITGB1,KLRC1,DDIT4,LGALS3,LYAR,CD63,MYL12B,RPL15,ID2,PMAIP1,FXYD5,IL7R,CYTIP,HLA-A,ZNF683,XCL1,CXCR3,LGALS1,RP11-291B21.2,SOD1,MT-CO2,IFITM3,ITM2C,ISG20,GPR183,SERP1,COX7C,IFITM2,CCR7,RPS14,CTSW,RPL30,JAK1,ANXA1,ARID5B,LSP1,RPS12,DUSP4,CFLAR,HMGB1,TOB1,NDUFS5,CD247,RPL41,TSC22D3,CD82,NEAT1,SAT1,ERP29,EMB,GLIPR1,YWHAQ,CIB1,S100A11,RPS10,GAS5,RPL11,KLRC2,ZBTB16,HLA-DRA,SLA2,PGK1,S100A10,SSR4,RPL27A,H3F3A,DSTN,BHLHE40,KLRC3,CLIC3,CYCS,IL10RA,HLA-DRB5,RPS27,CD53,COX4I1,PPP1R2,LINC02446,COX5A,RPS24,HNRNPF,FCGR3A,LDHA,ALDOA,RGS2,EEF1G,NFKBIA,CCL5,CD37,ARL4C,PRDX2
26	MXI1	SPP1,CSTB,PLIN2,LDHA,MIF,ENO1,TPI1,ALDOA,LSP1,GAPDH,S100A10,NUPR1,PGK1,CXCL8,GPNMB,RNASET2,BNIP3L,C15orf48,CTSD,SLC2A3	SPP1,CSTB,PLIN2,LDHA,MIF,ENO1,TPI1,ALDOA,LSP1,GAPDH,S100A10,NUPR1,PGK1,CXCL8,GPNMB,RNASET2,BNIP3L,C15orf48,CTSD,SLC2A3,VIM,PKM,FTL,HK2,PPDPF,GLUL,LGALS3,ERO1A,LGALS1,FTH1,CLEC2B,ATP6V1F,ADM,BNIP3,PGAM1,C4orf3,FAM162A,BTG1,RGCC,P4HA1,RALA,GPI,RNASE1,ALOX5AP,GUK1,CXCR4,FCGR2B,H2AFY,NDRG1,ANXA1,EIF4EBP1,APOC1,CYTIP,SGK1,LAPTM5,IL1RN,MGAT1,BCL2A1,WSB1,SDCBP,EMP3,CD68,PLAUR,HILPDA,VKORC1,BLVRB,ATP6V1G1,GSTO1,MAP1LC3B,SLC2A1,CAPG,SEC61G,ADAM8,NCF1,LIMS1,ENO2,VCAN,SLC11A1,SNHG12,SAT1,SNX10,VDAC1,UPP1,GRB2,CD9,LRRFIP1,CD300A,MPC2,ZNF385A,SLC16A3,SOD2,MXI1,FXYD5,S100A11,FABP5,SCD,C15ORF48,ASAH1,BRI3,TAGLN2
27	NR2F2,HES4,ID3,EBF1,ID4,CEBPD	RGS5,NDUFA4L2,IGFBP7,ACTA2,CALD1,MYL9,PPP1R14A,TAGLN,HIGD1B,TPPP3,COL18A1,BGN,TPM2,COX4I2,COL4A1,NOTCH3,ADIRF,SPARC,THY1,ARHGDIB	RGS5,NDUFA4L2,IGFBP7,ACTA2,CALD1,MYL9,PPP1R14A,TAGLN,HIGD1B,TPPP3,COL18A1,BGN,TPM2,COX4I2,COL4A1,NOTCH3,ADIRF,SPARC,THY1,ARHGDIB,PHLDA1,FRZB,SPARCL1,EPS8,COL4A2,PDGFRB,TPM1,RGS16,MFGE8,SEPT7,MGP,MAP1B,CST3,CPE,LGALS1,NR2F2,PLXDC1,SDC2,LHFPL6,TFPI,KCNJ8,SOD3,GJA4,MEF2C,HES4,TINAGL1,MCAM,CCDC102B,CRIP1,APOE,CYTOR,FILIP1L,ASPN,SEPT4,TIMP1,CSRP2,ANGPT2,LGALS3BP,OAZ2,CHN1,COL6A2,ID3,PLAC9,MIR4435-2HG,CCL2,DKK3,CRIP2,FAM162B,PRSS23,PCOLCE,MYLK,UACA,LDHB,STOM,CYGB,CALM2,GPX3,ANXA6,ISG15,CD59,TGFB1I1,LHFP,EBF1,PTP4A3,CRISPLD2,CAV1,IFITM3,EGFL6,COL6A1,ENPEP,ID4,PDLIM1,HSPB1,CD36,CEBPD,PGF,S100A4,HLA-B,CLIC1,EDNRA
28	FOXP1,EGR1,PRDM1,ID2,YBX1	HNRNPH1,CDC42,SET,C1orf56,CDC42SE1,CTNNB1,PPP1CB,B4GALT1,CAPZA1,EIF5A,WTAP,MDM4,CALR,TRA2A,APOBEC3C,CHP1,ARPC4,TNRC6B,YWHAE,CBX6	HNRNPH1,CDC42,SET,C1orf56,CDC42SE1,CTNNB1,PPP1CB,B4GALT1,CAPZA1,EIF5A,WTAP,MDM4,CALR,TRA2A,APOBEC3C,CHP1,ARPC4,TNRC6B,YWHAE,CBX6,C6orf62,EIF2S3,SAR1A,FOXP1,LYZ,PPP3CA,SRSF6,STK17B,TSPYL1,SERPINB9,AXL,RASGEF1B,CTTN,SUMF2,GOLIM4,AC020656.1,FGD2,C16orf54,ADAM19,SRSF3,DNAJC3,IFI6,INSR,APOL2,ADAM17,ARF6,NUCKS1,PIP4K2A,TOR1AIP2,PPP2R5C,ARRDC3,RP11-138A9.2,EGR1,PRDM1,TMED4,RIN2,RASSF3,ID2,ZC3HAV1,IAH1,EIF5AL1,RBM6,WSB1,SAT1,CDC42SE2,RQCD1,SEC22B,YBX1,PSMA3-AS1,ANKRD40,RAP2B,DDX6,PHKG1,TOB1,GIGYF1,PIM2,RP11-1143G9.4,RPL23,SSR3,DOCK5,ELMSAN1,CD47,LRRC75A,PAFAH1B2,CLEC2D,SLC35F6,EIF3E,CSNK1A1,VMP1,CYBB,CNOT9,RPS25,R3HDM2,TLE3,THRAP3,NPM1,SETD5,PTP4A2,MARCH6,RIT1
